PS C:\Users\Paulo\Desktop\236901\ARMP-HW2> python run.py -map map2.json
242050 498.8568203449249 ((148, 67)), g,h:[112.35533905932738,1413.966053340744], parent: ((149, 68))
243050 500.73323702812195 ((110, 64)), g,h:[150.76955262170054,1363.6715146984627], parent: ((111, 65))
244050 502.6386604309082 ((92, 66)), g,h:[167.11269837220814,1342.3859355639868], parent: ((93, 67))
245050 504.5440835952759 ((5, 277)), g,h:[364.21529547665097,1222.8654872879517], parent: ((6, 276))
246050 506.37949109077454 ((14, 291)), g,h:[374.487373415293,1252.078272313676], parent: ((15, 290))
247050 508.18090558052063 ((188, 67)), g,h:[70.69848480983501,1594.7727110782903], parent: ((189, 68))
248050 510.02636647224426 ((61, 55)), g,h:[202.66904755831231,1501.5325504297268], parent: ((62, 56))
249050 511.8033950328827 ((83, 45)), g,h:[184.8111831820432,1559.2947123619704], parent: ((84, 46))
250050 513.5696821212769 ((174, 48)), g,h:[92.56854249492376,1690.5620367203328], parent: ((175, 49))
251050 515.337096452713 ((153, 38)), g,h:[117.71067811865468,1704.494059831245], parent: ((154, 39))
252050 517.2014124393463 ((16, 62)), g,h:[244.76955262170057,1615.5494421403512], parent: ((17, 63))
253050 519.0078139305115 ((123, 64)), g,h:[136.11269837220814,1379.3114224133724], parent: ((124, 65))
254050 520.9432437419891 ((76, 59)), g,h:[185.18376618407368,1430.2796929272263], parent: ((77, 60))
255050 522.9336857795715 ((175, 59)), g,h:[86.18376618407355,1597.0597985047398], parent: ((176, 60))
256050 525.0099890232086 ((110, 42)), g,h:[158.22539674441632,1583.161394173064], parent: ((111, 43))
257050 527.0374388694763 ((24, 64)), g,h:[235.11269837220814,1557.9473675320357], parent: ((25, 65))
258050 529.0778920650482 ((105, 33)), g,h:[166.95331880577405,1670.7483353276161], parent: ((106, 34))
259050 531.1263468265533 ((148, 31)), g,h:[124.78174593052013,1756.843760839307], parent: ((149, 32))
260050 532.9897613525391 ((119, 60)), g,h:[140.94112549695438,1412.834031300209], parent: ((120, 61))
261050 534.9762027263641 ((102, 52)), g,h:[161.25483399593924,1480.1351289662712], parent: ((103, 53))
262050 537.0081942081451 ((131, 46)), g,h:[134.74011537017762,1570.8914666519772], parent: ((132, 47))
263050 539.0946619510651 ((198, 61)), g,h:[61.52691193458118,1700.7351351694947], parent: ((199, 62))
264050 541.1626489162445 ((136, 36)), g,h:[133.88225099390854,1679.0473489452284], parent: ((137, 37))
265050 543.2591226100922 ((192, 47)), g,h:[73.32590180780447,1785.3010950537168], parent: ((193, 48))
266050 545.3287000656128 ((87, 29)), g,h:[185.7817459305205,1714.9344010777786], parent: ((88, 30))
267050 547.2295260429382 ((100, 58)), g,h:[159.94112549695438,1420.0], parent: ((101, 59))
268050 549.2659785747528 ((54, 62)), g,h:[204.28427124746196,1454.6477236774545], parent: ((55, 63))
269050 551.2994303703308 ((102, 44)), g,h:[163.74011537017768,1560.1281998605114], parent: ((103, 45))
270050 553.4209015369415 ((26, 64)), g,h:[231.45584412271575,1548.2893786369525], parent: ((27, 65))
